Module	GeneSet	RatioOfProteinsInGeneSet	NumberOfProteinsInGeneSet	ProteinsFromModule	P-value	FDR	Nodes
0	Fanconi anemia pathway(K)	0,0046	54	9	2,0994E-13	2,4563E-11	BRCA2,FANCI,FANCM,FANCA,MLH1,PALB2,RAD51,ERCC4,CENPS
0	Fanconi anemia pathway(N)	0,0038	45	8	3,0617E-12	1,7758E-10	BRCA2,FANCI,FANCM,XRCC3,FANCA,PALB2,ATM,CENPS
0	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)(R)	0,0072	85	9	1,1570E-11	4,5123E-10	RTEL1,BRCA2,HERC2,TP53BP1,XRCC3,PALB2,RAD51,ERCC4,ATM
0	Homologous recombination(K)	0,0035	41	6	6,0668E-09	1,7594E-07	BRCA2,POLD1,XRCC3,PALB2,RAD51,ATM
0	Nucleotide Excision Repair(R)	0,0086	102	7	5,1997E-08	1,1959E-06	POLR2A,POLD1,LIG1,GTF2H3,XAB2,ERCC4,UVSSA
0	Fanconi Anemia Pathway(R)	0,0030	36	5	1,5831E-07	3,0080E-06	FANCI,FANCM,FANCA,ERCC4,CENPS
0	Meiotic recombination(R)	0,0027	32	4	4,5534E-06	7,2855E-05	BRCA2,MLH1,RAD51,ATM
0	Processing of Capped Intron-Containing Pre-mRNA(R)	0,0200	236	7	1,3276E-05	1,8587E-04	CCAR1,POLR2A,NUP85,DHX38,FUS,XAB2,SYF2
0	Mismatch Repair(R)	0,0013	15	3	1,9533E-05	2,2473E-04	POLD1,LIG1,MLH1
0	Nucleotide excision repair(K)	0,0040	47	4	2,0430E-05	2,2473E-04	POLD1,LIG1,GTF2H3,ERCC4
0	Mismatch repair(K)	0,0019	23	3	6,9108E-05	6,8267E-04	POLD1,LIG1,MLH1
0	Telomere Maintenance(R)	0,0056	66	4	7,5852E-05	6,8267E-04	RTEL1,POLR2A,POLD1,LIG1
0	BARD1 signaling events(N)	0,0025	29	3	1,3659E-04	1,2293E-03	FANCA,RAD51,ATM
0	RNA Polymerase II Transcription(R)	0,0773	913	11	1,6439E-04	1,3151E-03	ICE1,POLR2A,DHX38,FANCI,WWOX,TBP,MLH1,GTF2H3,POU2F2,RAD51,ATM
0	B-WICH complex positively regulates rRNA expression(R)	0,0030	35	3	2,3678E-04	1,6574E-03	TAF1C,TBP,MYBBP1A
0	Nonhomologous End-Joining (NHEJ)(R)	0,0030	36	3	2,5705E-04	1,7994E-03	HERC2,TP53BP1,ATM
0	Validated transcriptional targets of deltaNp63 isoforms(N)	0,0038	45	3	4,9159E-04	2,9496E-03	BRCA2,POU2F2,ATM
0	DNA Double Strand Break Response(R)	0,0039	46	3	5,2387E-04	3,1432E-03	HERC2,TP53BP1,ATM
0	NoRC negatively regulates rRNA expression(R)	0,0041	49	3	6,2877E-04	3,7311E-03	TAF1C,TBP,GTF2H3
